areaname,year,govempfunct,empft,empft_cv,payannft,payannft_cv,emppt,emppt_cv,payannpt,payannpt_cv,hrspt,hrspt_cv,empfte,empfte_cv,emp,emp_cv,payann,payann_cv
United States,2014,Gas Supply,10825,0.46,51553162,0.42,471,0.45,621785,0.27,41647,0.27,11068,0.45,11296,0.44,52174947,0.41
United States,2014,Transit,221912,0.13,1258556381,0.11,20696,0.45,39100464,0.32,2284739,0.4,234947,0.14,242608,0.13,1297656845,0.11
United States,2014,Education Total ,7477428,0.17,33506108589,0.17,3510108,0.15,4121369320,0.18,222642942,0.17,8784647,0.16,10987536,0.12,37627477909,0.15
United States,2014,Education - Elementary and Secondary Total ,5868771,0.21,24555835556,0.23,1814045,0.27,2087405208,0.33,126271708,0.3,6622032,0.21,7682816,0.18,26643240764,0.22
United States,2014,Education - Elementary and Secondary Instructional             ,4226822,0.27,19752855628,0.28,1005035,0.37,1209534669,0.46,67483961,0.41,4626679,0.28,5231857,0.23,20962390297,0.27
United States,2014,Education - Elementary and Secondary Other ,1641949,0.3,4802979928,0.29,809010,0.4,877870539,0.46,58787747,0.43,1995353,0.3,2450959,0.24,5680850467,0.25
United States,2014,Education - Higher Education Total ,1528939,0.07,8579852574,0.07,1683130,0.11,2011655736,0.11,95355421,0.09,2077077,0.07,3212069,0.07,10591508310,0.06
United States,2014,Education - Higher Education Instructional,501106,0.11,3824125233,0.1,628492,0.22,1065206935,0.18,34426328,0.16,699309,0.12,1129598,0.13,4889332168,0.09
United States,2014,Education - Higher Education Other ,1027833,0.1,4755727341,0.09,1054638,0.12,946448801,0.12,60929093,0.11,1377768,0.09,2082471,0.08,5702176142,0.07
United States,2014,Education - Other,79718,0.0,370420459,0.0,12933,0.0,22308376,0.0,1015813,0.0,85538,0.0,92651,0.0,392728835,0.0
United States,2014,Libraries                          ,87439,0.2,341056134,0.21,98101,0.29,101033929,0.3,7340204,0.3,129897,0.22,185540,0.18,442090063,0.18
United States,2014,State liquor stores,6048,0.0,20887169,0.0,5935,0.0,8301647,0.0,508742,0.0,9029,0.0,11983,0.0,29188816,0.0
United States,2014,All other and unallocable,402670,0.15,1904222666,0.13,90795,0.24,98298691,0.26,5854892,0.28,435774,0.16,493465,0.13,2002521357,0.12
